sprint,kind,limit,collected_at,repository_rank,name_with_owner,url,stargazer_count,created_at,age_days,merged_pull_requests,releases_count,updated_at,days_since_update,primary_language,issues_total,issues_closed,closed_issues_ratio
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,1,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,543165,2018-05-09T12:03:18Z,3031.34,157,0,2026-08-26T20:06:27Z,0.01,Markdown,948,673,0.709916
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,2,sindresorhus/awesome,https://github.com/sindresorhus/awesome,500190,2014-07-11T13:42:37Z,4429.27,702,0,2026-08-26T20:06:09Z,0.01,,368,352,0.956522
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,3,public-apis/public-apis,https://github.com/public-apis/public-apis,470971,2016-03-20T23:49:42Z,3810.85,2161,0,2026-08-26T20:06:14Z,0.01,Python,942,911,0.967091
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,4,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454635,2014-12-24T17:49:19Z,4263.1,29201,0,2026-08-26T20:01:26Z,0.01,TypeScript,22108,21959,0.99326
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,5,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,395271,2013-10-11T06:50:37Z,4702.56,7424,0,2026-08-26T19:43:12Z,0.02,Python,1296,1256,0.969136
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,6,openclaw/openclaw,https://github.com/openclaw/openclaw,387710,2025-11-24T10:16:47Z,275.42,28602,235,2026-08-26T19:58:38Z,0.01,TypeScript,48814,45281,0.927623
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,7,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,366213,2017-02-26T16:15:28Z,3468.17,210,0,2026-08-26T20:07:29Z,0.01,Python,405,127,0.31358
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,8,nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,365481,2017-03-15T13:45:52Z,3451.27,4401,1,2026-08-26T19:52:28Z,0.02,TypeScript,3189,3185,0.998746
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,9,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359788,2016-06-06T02:34:12Z,3733.74,415,0,2026-08-26T20:05:59Z,0.01,,536,455,0.848881
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,10,vinta/awesome-python,https://github.com/vinta/awesome-python,316235,2014-06-27T21:00:06Z,4442.97,744,0,2026-08-26T19:54:36Z,0.01,Python,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,11,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,315369,2015-06-01T02:33:17Z,4104.74,0,1,2026-08-26T20:05:28Z,0.01,,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,12,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,280968,2017-04-12T05:07:46Z,3423.63,194,0,2026-08-26T20:03:10Z,0.01,Python,241,89,0.369295
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,13,obra/superpowers,https://github.com/obra/superpowers,278020,2025-10-09T19:45:18Z,321.02,167,12,2026-08-26T20:08:12Z,0.0,Shell,866,755,0.871824
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,14,996icu/996.ICU,https://github.com/996icu/996.ICU,276781,2019-03-26T07:31:14Z,2710.53,1072,0,2026-08-26T19:49:15Z,0.02,,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,15,react/react,https://github.com/react/react,247903,2013-05-24T16:15:54Z,4842.17,13053,132,2026-08-26T19:39:58Z,0.02,JavaScript,14632,13804,0.943412
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,16,torvalds/linux,https://github.com/torvalds/linux,244487,2011-09-04T22:48:12Z,5469.89,0,0,2026-08-26T20:02:32Z,0.01,C,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,17,affaan-m/ECC,https://github.com/affaan-m/ECC,243453,2026-01-18T00:51:51Z,220.81,998,15,2026-08-26T20:06:44Z,0.01,JavaScript,721,668,0.926491
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,18,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,240496,2018-06-23T10:43:14Z,2986.4,122,0,2026-08-26T20:03:43Z,0.01,,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,19,mattpocock/skills,https://github.com/mattpocock/skills,237834,2026-02-03T11:15:53Z,204.37,95,7,2026-08-26T20:08:16Z,0.0,Shell,726,318,0.438017
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,20,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,236837,2025-07-22T22:22:28Z,399.91,11900,29,2026-08-26T20:06:57Z,0.01,Python,24151,11867,0.491367
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,21,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,224043,2016-07-16T09:44:01Z,3693.44,3090,0,2026-08-26T18:49:15Z,0.06,Python,1754,1608,0.916762
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,22,vuejs/vue,https://github.com/vuejs/vue,210688,2013-07-29T03:24:51Z,4776.7,1136,249,2026-08-26T19:55:11Z,0.01,TypeScript,10034,9670,0.963723
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,23,ossu/computer-science,https://github.com/ossu/computer-science,208433,2014-05-04T00:18:39Z,4497.83,315,0,2026-08-26T19:50:38Z,0.02,HTML,675,658,0.974815
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,24,multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,207649,2026-01-27T03:53:13Z,211.68,12,0,2026-08-26T20:00:45Z,0.01,,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,25,n8n-io/n8n,https://github.com/n8n-io/n8n,202522,2019-06-22T09:24:21Z,2622.45,20513,779,2026-08-26T19:58:51Z,0.01,TypeScript,10124,9783,0.966318
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,26,anomalyco/opencode,https://github.com/anomalyco/opencode,201678,2025-04-30T20:08:00Z,483.01,7867,865,2026-08-26T20:08:15Z,0.0,TypeScript,24952,20841,0.835244
